date;next;productId;units;avg;count;max;min;prev
2015-1;228;988;175;9;18;37;0;89
2015-2;271;988;228;11;20;51;1;175
2015-3;115;988;271;12;21;52;0;228
2015-4;213;988;115;6;19;26;1;271
2015-5;183;988;213;8;24;36;1;115
2015-6;196;988;183;7;24;54;0;213
2015-7;334;988;196;7;25;34;0;183
2015-8;223;988;334;12;26;35;0;196
2015-9;254;988;223;8;25;34;0;334
2015-10;235;988;254;10;25;55;0;223
2015-11;205;988;235;9;26;55;0;254
2015-12;378;988;205;13;15;50;0;235
2016-1;481;988;378;21;18;75;0;205
2016-2;583;988;481;24;20;102;2;378
2016-3;267;988;583;27;21;105;1;481
2016-4;477;988;267;14;19;53;3;583
2016-5;410;988;477;19;24;80;2;267
2016-6;436;988;410;17;24;110;1;477
2016-7;715;988;436;17;25;71;0;410
2016-8;506;988;715;27;26;76;0;436
2016-9;539;988;506;20;25;72;0;715
2016-10;519;988;539;21;25;110;0;506
2016-11;427;988;519;19;26;112;1;539
2016-12;759;988;427;28;15;100;1;519
2017-1;971;988;759;42;18;150;1;427
2017-2;1175;988;971;48;20;205;5;759
2017-3;547;988;1175;55;21;210;2;971
2017-4;968;988;547;28;19;108;6;1175
2017-5;834;988;968;40;24;161;5;547
2017-6;882;988;834;34;24;220;4;968
2017-7;1445;988;882;35;25;143;1;834
2017-8;1036;988;1445;55;26;153;2;882
2017-9;1094;988;1036;41;25;146;2;1445
2017-10;1076;988;1094;43;25;220;1;1036
2021-2;33898;10002;1364;682;2;853;511;6501
2021-6;14542;10002;33898;5649;6;29725;118;1364
2021-7;13199;10002;14542;1817;8;8160;113;33898
2021-8;1520;10002;13199;2199;6;11003;169;14542
2021-2;2547;10004;4830;1207;4;3066;118;1654
2021-3;9527;10004;2547;636;4;1528;78;4830
2021-4;591;10004;9527;4763;2;7141;2386;2547
2021-5;6757;10004;591;295;2;355;236;9527
2021-6;17380;10004;6757;3378;2;6050;707;591
2021-7;8154;10004;17380;1448;12;6080;7;6757
2021-8;271;10004;8154;1359;6;3968;230;17380
2021-3;2684;10005;9951;1990;5;5698;5;8
2021-5;122;10005;2684;2684;1;2684;2684;9951
2021-6;3386;10005;122;61;2;114;8;2684
2021-7;134;10005;3386;1128;3;1998;46;122
2021-6;285;10007;65;32;2;36;29;2426
2021-7;445;10007;285;285;1;285;285;65
2021-6;7157;10012;36527;12175;3;33531;1141;25494
2021-7;929;10012;7157;1789;4;4167;232;36527
2021-3;5238;10014;6025;860;7;3923;37;19
2021-4;4855;10014;5238;873;6;3952;18;6025
2021-5;93;10014;4855;1618;3;4480;7;5238
2021-6;344;10014;93;46;2;56;37;4855
2021-7;3385;10014;344;114;3;296;9;93
2021-8;18;10014;3385;1128;3;1424;923;344
2021-5;30;10015;5987;5987;1;5987;5987;7941
2021-6;2598;10025;62;62;1;62;62;2667
2021-7;1102;10025;2598;1299;2;2445;153;62
2021-4;160;10033;5075;5075;1;5075;5075;1788
2021-6;1178;10033;160;160;1;160;160;5075
2021-7;5057;10033;1178;392;3;952;23;160
2021-2;3;10036;849;849;1;849;849;592
2021-6;6881;10036;3;3;1;3;3;849
2021-3;1191;10045;2018;2018;1;2018;2018;92
2021-5;1060;10045;1191;595;2;1060;131;2018
2021-6;1932;10045;1060;1060;1;1060;1060;1191
2021-6;3144;10046;70;70;1;70;70;1973
2021-4;99;10048;78;78;1;78;78;2034
2021-5;327;10048;99;49;2;86;13;78
2021-6;207;10048;327;81;4;276;7;99
2021-7;158;10048;207;207;1;207;207;327
2021-8;2153;10048;158;79;2;89;69;207
2021-2;1073;10054;1322;661;2;1228;94;10
2021-4;38;10054;1073;1073;1;1073;1073;1322
2021-5;201;10054;38;38;1;38;38;1073
2021-7;2081;10054;201;100;2;190;11;38
2021-2;2160;10055;171;171;1;171;171;685
2021-3;118;10055;2160;432;5;1080;112;171
2021-5;5052;10055;118;118;1;118;118;2160
2021-6;746;10055;5052;2526;2;3078;1974;118
2021-7;3960;10055;746;373;2;574;172;5052
2021-3;287;10061;756;756;1;756;756;590
2021-4;469;10061;287;287;1;287;287;756
2021-3;361;10067;4968;828;6;1943;74;86
2021-4;837;10067;361;120;3;180;90;4968
2021-5;419;10067;837;209;4;360;71;361
2021-5;2236;10068;117;117;1;117;117;5934
2021-6;117;10068;2236;2236;1;2236;2236;117
2021-7;53;10068;117;117;1;117;117;2236
2021-3;836;10070;4749;949;5;2216;20;740
2021-4;10;10070;836;836;1;836;836;4749
2021-6;3336;10070;10;10;1;10;10;836
2021-7;1428;10070;3336;1112;3;2004;380;10
2021-3;156;10071;4030;2015;2;3970;60;1481
2021-4;238;10071;156;78;2;120;36;4030
2021-5;2639;10071;238;238;1;238;238;156
2021-6;1126;10071;2639;659;4;1992;24;238
2021-7;1993;10071;1126;563;2;1005;121;2639
2021-2;31;10077;2893;1446;2;2766;127;1974
2021-4;378;18056;164;164;1;164;164;418
2021-7;70;18139;14;14;1;14;14;157
2021-2;169;18154;25;25;1;25;25;61
2021-3;8;18154;169;84;2;99;70;25
2021-5;87;18154;8;8;1;8;8;169
2021-6;127;18154;87;87;1;87;87;8
2021-2;1661;18174;691;691;1;691;691;467
2021-3;6208;18174;1661;1661;1;1661;1661;691
2021-4;914;18174;6208;6208;1;6208;6208;1661
2021-5;3565;18174;914;914;1;914;914;6208
2021-6;916;18174;3565;891;4;2282;230;914
2021-2;21823;18226;335;111;3;210;42;2123
2021-3;7736;18226;21823;2727;8;12182;43;335
2021-4;3170;18226;7736;1547;5;4046;42;21823
2021-5;2181;18226;3170;792;4;2370;42;7736
2021-6;6892;18226;2181;727;3;2018;78;3170
2021-7;42;18226;6892;984;7;2104;211;2181
2021-2;21840;18227;275;137;2;246;29;1881
2021-3;320;18227;21840;2730;8;7385;100;275
2021-7;10299;10003;19739;1973;10;6717;76;2642
2021-8;684;10003;10299;936;11;4344;11;19739
2021-8;7066;10008;799;199;4;504;43;16
2021-7;12016;10013;7840;1960;4;4224;308;23510
2021-8;605;10013;12016;3004;4;6006;1202;7840
2021-2;26;10017;562;140;4;223;56;28
2021-3;172;10017;26;26;1;26;26;562
2021-4;1141;10017;172;86;2;120;52;26
2021-5;149;10017;1141;380;3;1012;11;172
2021-6;893;10017;149;49;3;120;6;1141
2021-2;2188;10020;236;59;4;151;24;146
2021-3;313;10020;2188;437;5;1383;3;236
2021-4;58;10020;313;156;2;295;18;2188
2021-5;16;10020;58;58;1;58;58;313
2021-6;241;10020;16;16;1;16;16;58
2021-6;396;10023;175;58;3;114;28;4360
2021-3;9809;10037;19260;1926;10;7588;232;14799
2021-2;2966;10043;5518;1379;4;4486;150;9519
2021-3;291;10043;2966;593;5;1467;298;5518
2021-5;1643;10043;291;291;1;291;291;2966
2021-3;2945;10044;4016;1338;3;2600;54;3160
2021-4;2224;10044;2945;1472;2;1946;999;4016
2021-5;274;10044;2224;1112;2;2164;60;2945
2021-6;1078;10044;274;137;2;269;5;2224
2021-7;189;10044;1078;539;2;997;81;274
2021-5;17;10049;1022;1022;1;1022;1022;1611
2021-5;263;10065;140;140;1;140;140;9729
2021-6;575;10065;263;131;2;135;128;140
2021-2;639;10084;20;10;2;19;1;38
2021-3;1285;10084;639;213;3;558;7;20
2021-2;5177;10085;1528;1528;1;1528;1528;173
2021-3;172;10085;5177;647;8;2040;88;1528
2021-5;226;10085;172;172;1;172;172;5177
2021-6;182;18170;179;179;1;179;179;360
2021-4;72;18188;144;144;1;144;144;24
2021-2;26770;20007;4576;2288;2;4560;16;245
2021-3;4029;20007;26770;2677;10;10045;38;4576
2021-4;40180;20007;4029;2014;2;4002;27;26770
2021-5;51757;20007;40180;5022;8;19760;0;4029
2021-6;12290;20007;51757;4705;11;15005;14;40180
2021-2;42655;20013;31080;1942;16;7984;31;70489
2021-3;21041;20013;42655;3281;13;12908;60;31080
2021-4;33684;20013;21041;2630;8;8540;61;42655
2021-5;51502;20013;33684;2807;12;15060;13;21041
2021-6;15344;20013;51502;3961;13;13809;16;33684
2021-7;50123;20013;15344;2192;7;10930;131;51502
2021-8;4477;20013;50123;4176;12;14872;24;15344
2021-2;20169;20014;6585;1317;5;4685;196;50057
2021-3;24578;20014;20169;2521;8;13360;40;6585
2021-4;8065;20014;24578;4096;6;20998;115;20169
2021-5;13782;20014;8065;1344;6;4469;217;24578
2021-6;11659;20014;13782;3445;4;5171;2360;8065
2021-7;16982;20014;11659;1665;7;5634;24;13782
2021-2;198;20015;38392;4799;8;21616;2;11422
2021-3;182;20015;198;198;1;198;198;38392
2021-2;25167;20016;14453;3613;4;7920;135;14368
2021-3;8187;20016;25167;3595;7;11656;405;14453
