next,productId,year,month,units,avg,count,max,min,prev
228,988,2015,1,175,9,18,37,0,89
271,988,2015,2,228,11,20,51,1,175
115,988,2015,3,271,12,21,52,0,228
213,988,2015,4,115,6,19,26,1,271
183,988,2015,5,213,8,24,36,1,115
196,988,2015,6,183,7,24,54,0,213
334,988,2015,7,196,7,25,34,0,183
223,988,2015,8,334,12,26,35,0,196
254,988,2015,9,223,8,25,34,0,334
235,988,2015,10,254,10,25,55,0,223
205,988,2015,11,235,9,26,55,0,254
378,988,2015,12,205,13,15,50,0,235
481,988,2016,1,378,21,18,75,0,205
583,988,2016,2,481,24,20,102,2,378
267,988,2016,3,583,27,21,105,1,481
477,988,2016,4,267,14,19,53,3,583
410,988,2016,5,477,19,24,80,2,267
436,988,2016,6,410,17,24,110,1,477
715,988,2016,7,436,17,25,71,0,410
506,988,2016,8,715,27,26,76,0,436
539,988,2016,9,506,20,25,72,0,715
519,988,2016,10,539,21,25,110,0,506
427,988,2016,11,519,19,26,112,1,539
759,988,2016,12,427,28,15,100,1,519
971,988,2017,1,759,42,18,150,1,427
1175,988,2017,2,971,48,20,205,5,759
547,988,2017,3,1175,55,21,210,2,971
968,988,2017,4,547,28,19,108,6,1175
834,988,2017,5,968,40,24,161,5,547
882,988,2017,6,834,34,24,220,4,968
1445,988,2017,7,882,35,25,143,1,834
1036,988,2017,8,1445,55,26,153,2,882
1094,988,2017,9,1036,41,25,146,2,1445
1076,988,2017,10,1094,43,25,220,1,1036
33898,10002,2021,2,1364,682,2,853,511,6501
14542,10002,2021,6,33898,5649,6,29725,118,1364
13199,10002,2021,7,14542,1817,8,8160,113,33898
1520,10002,2021,8,13199,2199,6,11003,169,14542
2547,10004,2021,2,4830,1207,4,3066,118,1654
9527,10004,2021,3,2547,636,4,1528,78,4830
591,10004,2021,4,9527,4763,2,7141,2386,2547
6757,10004,2021,5,591,295,2,355,236,9527
17380,10004,2021,6,6757,3378,2,6050,707,591
8154,10004,2021,7,17380,1448,12,6080,7,6757
271,10004,2021,8,8154,1359,6,3968,230,17380
2684,10005,2021,3,9951,1990,5,5698,5,8
122,10005,2021,5,2684,2684,1,2684,2684,9951
3386,10005,2021,6,122,61,2,114,8,2684
134,10005,2021,7,3386,1128,3,1998,46,122
285,10007,2021,6,65,32,2,36,29,2426
445,10007,2021,7,285,285,1,285,285,65
7157,10012,2021,6,36527,12175,3,33531,1141,25494
929,10012,2021,7,7157,1789,4,4167,232,36527
5238,10014,2021,3,6025,860,7,3923,37,19
4855,10014,2021,4,5238,873,6,3952,18,6025
93,10014,2021,5,4855,1618,3,4480,7,5238
344,10014,2021,6,93,46,2,56,37,4855
3385,10014,2021,7,344,114,3,296,9,93
18,10014,2021,8,3385,1128,3,1424,923,344
30,10015,2021,5,5987,5987,1,5987,5987,7941
2598,10025,2021,6,62,62,1,62,62,2667
1102,10025,2021,7,2598,1299,2,2445,153,62
160,10033,2021,4,5075,5075,1,5075,5075,1788
1178,10033,2021,6,160,160,1,160,160,5075
5057,10033,2021,7,1178,392,3,952,23,160
3,10036,2021,2,849,849,1,849,849,592
6881,10036,2021,6,3,3,1,3,3,849
1191,10045,2021,3,2018,2018,1,2018,2018,92
1060,10045,2021,5,1191,595,2,1060,131,2018
1932,10045,2021,6,1060,1060,1,1060,1060,1191
3144,10046,2021,6,70,70,1,70,70,1973
99,10048,2021,4,78,78,1,78,78,2034
327,10048,2021,5,99,49,2,86,13,78
207,10048,2021,6,327,81,4,276,7,99
158,10048,2021,7,207,207,1,207,207,327
2153,10048,2021,8,158,79,2,89,69,207
1073,10054,2021,2,1322,661,2,1228,94,10
38,10054,2021,4,1073,1073,1,1073,1073,1322
201,10054,2021,5,38,38,1,38,38,1073
2081,10054,2021,7,201,100,2,190,11,38
2160,10055,2021,2,171,171,1,171,171,685
118,10055,2021,3,2160,432,5,1080,112,171
5052,10055,2021,5,118,118,1,118,118,2160
746,10055,2021,6,5052,2526,2,3078,1974,118
3960,10055,2021,7,746,373,2,574,172,5052
287,10061,2021,3,756,756,1,756,756,590
469,10061,2021,4,287,287,1,287,287,756
361,10067,2021,3,4968,828,6,1943,74,86
837,10067,2021,4,361,120,3,180,90,4968
419,10067,2021,5,837,209,4,360,71,361
2236,10068,2021,5,117,117,1,117,117,5934
117,10068,2021,6,2236,2236,1,2236,2236,117
